order_id,customer_name,email,product,quantity,unit_price,order_date,status
1001,Juan Dela Cruz,Juan@Email.Com,Laptop,2,45000,15/01/2024,Completed
1002,Maria Santos,Unknown,Phone,1,25000,16/01/2024,Completed
1003,Pedro Reyes,Pedro@Email.Com,Laptop,-1,45000,17/01/2024,Completed
1004,Ana Garcia,Ana@Email.Com,Tablet,1,18000,18/01/2024,Pending
1005,Juan Dela Cruz,Juan@Email.Com,Mouse,3,850,18/01/2024,Completed
1006,Unknown,Carlo@Email.Com,Keyboard,2,1500,20/01/2024,Completed
1007,Rosa Mendoza,Rosa@Email.Com,Phone,1,25000,20/01/2024,Cancelled
1008,Jose Rizal,Jose@Email.Com,Monitor,1,12000,Jan 21 2024,Completed
1009,Maria Santos,Maria@Email.Com,Tablet,2,18000,22/01/2024,Completed
1010,Pedro Reyes,Pedro@Email.Com,Laptop,1,45000,23/01/2024,Completed
